Id,name,primary_muscle,secondary_muscles,core_engagement,unilateral,plyometric,isometric,knee_friendly,spine_load,body_category,type,level,impact,equipment,movement_pattern,tags,avoid_if_knee_issues,avoid_if_lower_back_issues,description,gif_url,fallback_url,fallback_url 2,Fatigue,Modified_Auto
,Single-leg glute bridge,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Hamstrings:0.5,seed_hiit_2026-01-02
,Bear crawl,Core,,,,,,,,full body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Core:0.8;Shoulders:0.6;Quads:0.4,seed_hiit_2026-01-02
,Crab walk,Triceps,,,,,,,,full body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Triceps:0.7;Shoulders:0.4;Glutes:0.4,seed_hiit_2026-01-02
,Inchworm walkout,Core,,,,,,,,full body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Core:0.8;Shoulders:0.5;Hamstrings:0.4,seed_hiit_2026-01-02
,Bicycle crunches,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Flutter kicks,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Russian twists,Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Leg raises,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Plank,Core,,,,,TRUE,,,core,isometric,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Side plank (left),Core,,,,,TRUE,,,core,isometric,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Side plank (right),Core,,,,,TRUE,,,core,isometric,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Sprinter sit-ups,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Jump rope (imaginary),Calves,,,,,,,,full body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Calves:0.8;Quads:0.4,seed_hiit_2026-01-02
,Butt kicks,Hamstrings,,,,,,,,lower body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Hamstrings:0.8;Calves:0.3,seed_hiit_2026-01-02
,Shadow boxing,Shoulders,,,,,,,,upper body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Shoulders:0.6;Core:0.3,seed_hiit_2026-01-02
,Squat thrusts,Core,,,,,,,,full body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Core:0.8;Quads:0.6,seed_hiit_2026-01-02
,Hollow hold,Abs,,,,,TRUE,,,core,isometric,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Dead bug,Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Bird dog,Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Wall sit,Quads,,,,,TRUE,,,lower body,isometric,,,bodyweight,,hiit;legs,,,,,,,Quads:1;Glutes:0.4,seed_hiit_2026-01-02
,Sit-ups,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,V-ups,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Toe touches,Abs,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Abs:1,seed_hiit_2026-01-02
,Plank to pike,Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1;Shoulders:0.4,seed_hiit_2026-01-02
,Cross-body mountain climbers,Core,,,,,,,,full body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Core:1;Shoulders:0.3;Quads:0.3,seed_hiit_2026-01-02
,Lateral shuffle,Calves,,,,,,,,lower body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Calves:0.6;Quads:0.4,seed_hiit_2026-01-02
,Side-to-side hops,Calves,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Calves:0.8;Quads:0.4,seed_hiit_2026-01-02
,Seal jacks,Shoulders,,,,,,,,full body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Shoulders:0.4;Calves:0.4,seed_hiit_2026-01-02
,Push-up jacks,Chest,,,,,,,,upper body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Chest:0.8;Triceps:0.6;Core:0.5,seed_hiit_2026-01-02
,Pike push-ups,Shoulders,,,,,,,,upper body,strength,,,bodyweight,,hiit,,,,,,,Shoulders:1;Triceps:0.5,seed_hiit_2026-01-02
,Diamond push-ups,Triceps,,,,,,,,upper body,strength,,,bodyweight,,hiit,,,,,,,Triceps:1;Chest:0.5;Shoulders:0.3,seed_hiit_2026-01-02
,Hand-release push-ups,Chest,,,,,,,,upper body,strength,,,bodyweight,,hiit,,,,,,,Chest:1;Triceps:0.6,seed_hiit_2026-01-02
,Triceps dips (bench),Triceps,,,,,,,,upper body,strength,,,bench,,hiit,,,,,,,Triceps:1;Shoulders:0.4;Chest:0.3,seed_hiit_2026-01-02
,Step-ups (bench),Quads,,,,,,,,lower body,metcon,,,bench,,hiit;conditioning,,,,,,,Quads:1;Glutes:0.6;Calves:0.3,seed_hiit_2026-01-02
,Curtsy lunges,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Quads:0.5,seed_hiit_2026-01-02
,Lateral lunges,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Quads:0.6,seed_hiit_2026-01-02
,Sumo squats,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Quads:0.6,seed_hiit_2026-01-02
,Squat pulses,Quads,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Quads:1;Glutes:0.4,seed_hiit_2026-01-02
,Glute kickbacks,Glutes,,,,,,,,lower body,core,,,bodyweight,,hiit,,,,,,,Glutes:1,seed_hiit_2026-01-02
,Donkey kicks,Glutes,,,,,,,,lower body,core,,,bodyweight,,hiit,,,,,,,Glutes:1,seed_hiit_2026-01-02
,Superman,Back,,,,,,,,upper body,core,,,bodyweight,,hiit,,,,,,,Back:1;Glutes:0.3,seed_hiit_2026-01-02
,Swimmers,Back,,,,,,,,upper body,metcon,,,bodyweight,,hiit,,,,,,,Back:1;Shoulders:0.4,seed_hiit_2026-01-02
,Reverse snow angels,Back,,,,,,,,upper body,metcon,,,bodyweight,,hiit,,,,,,,Back:0.8;Shoulders:0.6,seed_hiit_2026-01-02
,Plank reach (alternating),Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1;Shoulders:0.4,seed_hiit_2026-01-02
,Plank knee-to-elbow,Core,,,,,,,,core,core,,,bodyweight,,hiit;core,,,,,,,Core:1,seed_hiit_2026-01-02
,Commando plank,Shoulders,,,,,,,,upper body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Shoulders:0.8;Core:0.6,seed_hiit_2026-01-02
,Bear plank (hover),Core,,,,,TRUE,,,core,isometric,,,bodyweight,,hiit;core,,,,,,,Core:1;Shoulders:0.4,seed_hiit_2026-01-02
,Sprint in place,Quads,,,,,,,,lower body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Quads:0.8;Calves:0.4,seed_hiit_2026-01-02
,Reverse plank,Triceps,,,,,TRUE,,,upper body,isometric,,,bodyweight,,hiit,,,,,,,Triceps:0.8;Core:0.4,seed_hiit_2026-01-02
,Step jacks (no jump),Shoulders,,,,,,,,full body,cardio,,,bodyweight,,hiit;low-impact;conditioning,,,,,,,Shoulders:0.4;Calves:0.2,seed_hiit_2026-01-02
,Side step touch,Calves,,,,,,,,lower body,cardio,,,bodyweight,,hiit;low-impact;conditioning,,,,,,,Calves:0.5;Quads:0.3,seed_hiit_2026-01-02
,Standing knee drives (low impact),Quads,,,,,,,,lower body,cardio,,,bodyweight,,hiit;low-impact;conditioning,,,,,,,Quads:0.7;Core:0.3,seed_hiit_2026-01-02
,Marching in place,Quads,,,,,,,,lower body,cardio,,,bodyweight,,hiit;low-impact;conditioning,,,,,,,Quads:0.5;Calves:0.2,seed_hiit_2026-01-02
