Id,name,primary_muscle,secondary_muscles,core_engagement,unilateral,plyometric,isometric,knee_friendly,spine_load,body_category,type,level,impact,equipment,movement_pattern,tags,avoid_if_knee_issues,avoid_if_lower_back_issues,description,gif_url,fallback_url,fallback_url 2,Fatigue,Modified_Auto
11,Reverse Plank,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
12,Mountain Climbers,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
13,Burpees,full body,,,,,,,,Full Body,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
14,Jumping Jacks,full body,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
15,High Knees,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
16,Butt Kicks,hamstrings,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
17,Squats,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
18,Wide Squats,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
19,Jump Squats,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
20,Lunges,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
21,Reverse Lunges,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
22,Side Lunges,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
23,Calf Raises,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
24,Glute Bridges,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
25,Hip Thrusts,glutes,,,,,,,,Lower,,,,bench,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
26,Donkey Kicks,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
27,Fire Hydrants,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
28,Superman,lower back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
29,Back Extensions,lower back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
30,Reverse Snow Angels,upper back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
31,Arm Circles,shoulders,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
32,Tricep Dips,triceps,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
33,Wall Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
34,Plank Shoulder Reach,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
35,Flutter Kicks,lower abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
36,Leg Raises,lower abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
37,Russian Twists,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
38,Sit-Ups,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
39,Crunches,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
40,Bicycle Crunches,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
41,Dead Bug,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
42,Bird Dog,lower back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
43,Wall Sit,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
44,Step-Ups,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
45,Fast Feet,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
46,Skaters,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
47,Plank Jacks,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
48,Walkouts,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
49,Inchworms,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
50,Superman Hold,lower back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
51,Arm Raises,shoulders,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
52,Chest Expander,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
53,Up & Down Planks,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
54,Elbow Plank,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
55,Side Leg Raises,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
56,Standing Leg Circles,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
57,Standing Knee Raises,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
58,Side Bends,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
59,Standing Twists,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
60,Arm Scissors,shoulders,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
61,Jumping Lunges,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
62,High Knees Run,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
63,Side-To-Side Hops,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
64,Toe Taps,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
65,March Steps,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
66,Side Steps,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
67,Back Kicks,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
68,Front Kicks,hip flexors,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
69,Side Kicks,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
70,Punches,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
71,Hook Punches,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
72,Uppercuts,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
73,Cross Punches,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
74,Shadow Boxing,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
75,Jump Rope (Simulated),calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
76,Jumping T’S,shoulders,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
77,Jumping Jacks Step,full body,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
78,Side-To-Side Squat Steps,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
79,Backfists,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
80,Elbow Strikes,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
81,Knee Strikes,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
82,Side Elbow Strikes,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
83,Back Elbow Strikes,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
84,Palm Strikes,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
85,Hammerfists,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
86,Side Leg Swings,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
87,Front Leg Swings,hip flexors,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
88,Standing Toe Touches,hamstrings,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
89,Standing Side Crunches,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
90,Standing Cross Crunches,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
91,Hip Rotations,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
92,Ankle Rotations,ankles,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
93,Neck Rotations,neck,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
94,Neck Side Tilts,neck,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
95,Arm Pullovers,shoulders,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
96,Child’S Pose,lower back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
97,Seated Forward Bend,hamstrings,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
98,Seated Side Bend,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
99,Seated Twist,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
100,Bridge Hold,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
101,Reverse Plank Leg Raises,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
102,Plank Leg Raises,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
103,Plank Hip Dips,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
104,Plank Reach,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
105,Plank Walkouts,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
106,Reverse Crunches,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
107,V-Ups,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
108,Toe Touches,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
109,Heel Touches,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
110,Leg Pull-Ins,abs,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
111,Leg Circles,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
112,Scissor Kicks,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
113,Reverse Leg Raises,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
114,Back Leg Raises,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
115,Side Leg Lifts,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
116,Hip Abductions,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
117,Hip Adductions,inner thighs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
118,Hip Circles,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
119,Standing Hamstring Curls,biceps,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
120,Standing Glute Kickbacks,glutes,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
121,Standing Hip Openers,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
122,Standing Hip Closers,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
123,Standing Calf Raises,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
124,Wide Calf Raises,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
125,Narrow Calf Raises,back,,,,,,,,Upper,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
126,Single-Leg Calf Raises,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
127,Ankle Hops,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
128,Heel Walk,shins,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
129,Toe Walk,calves,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
130,High March,hip flexors,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
131,Butt Kicks Run,hamstrings,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
132,Side Shuffle,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
133,Forward Shuffle,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
134,Backward Shuffle,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
135,Jumping Side Kicks,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
136,Jump Knee Tucks,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
137,Jump Squat Hold,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
138,Jump Lunge Switch,quads,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
139,Jump Side Steps,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
140,Jump Twists,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
141,Jump Punches,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
142,Jumping Hooks,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
143,Jumping Uppercuts,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
144,Jumping Cross Punches,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
145,Jumping Jabs,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
146,Side Kicks Jump,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
147,Front Kicks Jump,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
148,Back Kicks Jump,legs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
149,Roundhouse Kicks,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
150,Hook Kicks,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
151,Axe Kicks,hips,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
152,Side Punch Steps,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
153,Cross Punch Steps,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
154,Uppercut Steps,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
155,Hook Steps,arms,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
156,Side Knee Raises,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
157,Cross Knee Raises,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
158,Standing Crunches,abs,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
159,Standing Oblique Crunches,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
160,Standing Torso Twists,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
161,Torso Rotations,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
162,Torso Side Bends,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
163,Torso Forward Bend,hamstrings,,,,,,,,Lower,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
164,Torso Back Bend,spine,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
165,Standing Side Reach,obliques,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
166,Wide Grip Dumbbell Row,back,,,,,,,,Upper,,,,dumbbell,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
167,Supine Elbow Push,back,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
168,Renegade Row,back,,,,,,,,Upper,,,,dumbbells,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
169,Band High Row,back,,,,,,,,Upper,,,,band,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
170,Resistance Band Lat Pulldown,back,,,,,,,,Upper,,,,band,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
171,Gorilla Row,back,,,,,,,,Upper,,,,kettlebell,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
